Rostercode|Timed|Category|Paid
ESBY|True|standby|False
LSBY|True|standby|False
CSBY|True|standby|False
CSBE|True|standby|False
CSBL|True|standby|False
ADTY|True|standby|True
ASBY|True|standby|False
HSBY|True|standby|False
HCTB|True|standby|False
TCBP|True|standby|False
TCBA|True|standby|False
LATE|False|off|False
REST|False|off|False
D/O|False|off|False
WD/O|False|off|False
D/OR|False|off|False
GDO|False|off|False
IDO|False|off|False
WIDO|False|off|False
DDO|False|off|False
LVE|False|off|False
ULV|False|off|False
LABF|False|off|False
WED|False|off|False
FTGD|False|off|False
FTGO|False|off|False
UNFT|False|off|False
SICK|False|off|False
NFLY|False|off|False
NFYT|False|off|False
KUG|True|off|False
FIRE|True|recurrent|True
DOOR|True|recurrent|True
G/S|True|recurrent|True
ASEC|True|recurrent|True
CRM|True|recurrent|True
SEP|True|recurrent|True
WET|True|recurrent|True
CLD|True|training|True
OPCV|True|training|True
LIPC|True|training|True
LOEV|True|training|True
LOE|True|training|True
FFST|True|training|True
SIM|True|training|True
LTGS|True|training|True
OLAD|True|training|False
EMED|True|ground|True
MEET|True|ground|False
OFC4|True|admin|True
OFC8|True|admin|True
TFER|False|off|False
BFER|True|off|False
AMA|False|off|False
SNCR|False|admin|False